front,back,readLevel,id,created,lastRead,lastModified,picture
uniform,制服,5,04ko1sz0g8oq,2019-12-13T11:40:29.193Z,1.584618062644e+12,2020-03-19T11:41:02.756Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSvqxYUXKV7M_M69fU7gG2vL-nLaQBFKrMtG_7iCI_ncxhq2WGLAO3Y9JOquQ&amp;s
underwear,内衣,5,5inbi88tq1p,2019-12-13T11:40:29.193Z,1.58461806452e+12,2020-03-19T11:41:04.638Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSlvo0t7EYzv6PnXstA-Rna_xQ_VRw3RRhVqNTqhPXZFT8VbiFygPW0WAdMBg&amp;s
zip,拉链,5,bv4egsvn5uu,2019-12-13T11:40:29.193Z,1.584618066187e+12,2020-03-19T11:41:06.295Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSbKhA5nvUeVpFzrZ37OcCGtKZs3lRG6RbfmrXk48HWvbOuSp196J8h9kE&amp;s
sock,袜子,5,pkljl4qs95,2019-12-13T11:40:29.193Z,1.584618067774e+12,2020-03-19T11:41:07.884Z,http://t0.gstatic.com/images?q=tbn:ANd9GcQmtexY2ol6grhwp3k0nbGEQILEFH0g0LL0tvr6jdqtAaubscWW6ZJaCR-4AA&amp;s
jewellery,珠宝、首饰,5,zoicqkh6jk9,2019-12-13T11:40:29.193Z,1.584618073898e+12,2020-03-19T11:41:14.102Z,http://t0.gstatic.com/images?q=tbn:ANd9GcQXoJj8ALvObIFnsokpA7s19MGlmnfy_7R0vo-rBO_zUE6HVrnVrZzCGAE&amp;s
cosmetic,化妆品,5,8yhklyj53gv,2019-12-13T11:40:29.193Z,1.584618075686e+12,2020-03-19T11:41:15.787Z,http://t0.gstatic.com/images?q=tbn:ANd9GcRKQiCKFbt08tud_DmLc2xA_SCMcRf7xK5KAIrEv8SojrrHk59_R2q3ovZ1&amp;s
perfume,香水,5,qnhu10fmdj,2019-12-13T11:40:29.193Z,1.584618077354e+12,2020-03-19T11:41:17.456Z,http://t0.gstatic.com/images?q=tbn:ANd9GcT0Uvr4w6J0rrQ7Y_WAFlskZ3IPLlC3hZtKNCdY1OQ9kbAVjCbqPlbf7KYL&amp;s
lipstick,唇膏,5,yscrpjm7sx,2019-12-13T11:40:29.193Z,1.584618079061e+12,2020-03-19T11:41:19.220Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSf_L5VZomIk8ZRHqLUUP5czyyGEAffAVBfINsdue9sfCQLkdaWXyfr6jNk&amp;s
powder,粉末、化妆粉,5,eko2agg84nf,2019-12-13T11:40:29.193Z,1.584618081075e+12,2020-03-19T11:41:21.195Z,http://t0.gstatic.com/images?q=tbn:ANd9GcTS6ZjAi1M949hx6xsu-NR9xh-GXBjGsD-5PiyZ_RyMy5rA8tMpyJZ7diY&amp;s
transport,交通工具、运输工具,5,n9g8o6dz1zq,2019-12-13T11:40:29.193Z,1.584618082981e+12,2020-03-19T11:41:23.098Z,https://www.intelligenttransport.com/wp-content/uploads/transport-vector.jpg
traffic,车流量、交通,5,187k6bg94v,2019-12-13T11:40:29.193Z,1.584618084876e+12,2020-03-19T11:41:24.997Z,http://t0.gstatic.com/images?q=tbn:ANd9GcT-OACeJyzFQifrMz_zRMnXlr7WAQ6XuA9SKpqqMME2AuTkutC8ulMzLeQ&amp;s
vehicle,交通工具（小型的,5,1rilx75c2m4,2019-12-13T11:40:29.193Z,1.584618087085e+12,2020-03-19T11:41:27.212Z,http://t0.gstatic.com/images?q=tbn:ANd9GcT7qckWCBVUa2AwJSg3qh_5WjljJRbuo_BnLaQWrfKH4DwKhx697VhTEyA&amp;s
truck,卡车,5,c1d6kvv5dzp,2019-12-13T11:40:29.193Z,1.584618088905e+12,2020-03-19T11:41:29.017Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSx2kXaDIRb65w_JjDtspwDci3wIFyxE4fDkNKAoyrFEVdEG-9QcGT_qVkm&amp;s
brake,刹车、制动器,5,ac9or6qa5y7,2019-12-13T11:40:29.193Z,1.584618090754e+12,2020-03-19T11:41:30.882Z,http://t0.gstatic.com/images?q=tbn:ANd9GcQoRNU68MgKALaV2tSgPeABtGR8rW5J8nWt-C2EXAVnNLoW6oG626X8TGfV&amp;s
gear,档、档位,5,9zcmu2bofqb,2019-12-13T11:40:29.193Z,1.584618092357e+12,2020-03-19T11:41:32.474Z,http://t0.gstatic.com/images?q=tbn:ANd9GcTnWWzi_7EnNIhteIHqgYukXzJhztr7AT3kgHCq38mHChz59bS14BDzLFc&amp;s
tire,车胎,5,ugenh377qke,2019-12-13T11:40:29.193Z,1.584618093955e+12,2020-03-19T11:41:34.063Z,http://t0.gstatic.com/images?q=tbn:ANd9GcRoze4WXffO9D1ZLfyijxWjRxGAuRDoQPRsb0SXLuNEDRKGICOma4Ey41y6-g&amp;s
wheel,轮子,5,ofqa05vurpo,2019-12-13T11:40:29.193Z,1.584618095423e+12,2020-03-19T11:41:35.529Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSYT9mgtrkFli1rs_rV6FXo1_kcBQjlQdgA8w6bfGK0le1gGh1McxUCPg&amp;s
bell,铃、钟、门铃,5,ppbicb3ui6,2019-12-13T11:40:29.193Z,1.584618096956e+12,2020-03-19T11:41:37.055Z,https://ak3.picdn.net/shutterstock/videos/19843303/thumb/7.jpg
scale,比例尺、刻度、测量仪器,5,llqv52ecvci,2019-12-13T11:40:29.193Z,1.584618099301e+12,2020-03-19T11:41:39.410Z,http://t0.gstatic.com/images?q=tbn:ANd9GcR_pu40v_3r9MBjed7vsZ0wwuRCvUy-sZSxKxKaJ8iEUk9UrmpTjRfTKg0&amp;s
tap,水龙头,5,j24ibzep29,2019-12-13T11:40:29.193Z,1.584618101184e+12,2020-03-19T11:41:41.296Z,http://t0.gstatic.com/images?q=tbn:ANd9GcQPJtp7ZaK1PsyZM3KsvRiAlGg3sm0YLPyZzMpQ7CgXJulrFgKfLkulZnA&amp;s
equipment,设备、器材,5,ovq0r0v6mnc,2019-12-13T11:40:29.193Z,1.584618103171e+12,2020-03-19T11:41:43.288Z,https://www.alliedrentall.com/images/imagegroup.jpg
fridge,电冰箱,5,wbp25z02lyf,2019-12-13T11:40:29.193Z,1.584618108689e+12,2020-03-19T11:41:48.902Z,http://t0.gstatic.com/images?q=tbn:ANd9GcTZEjPrBiSSMncxvreq2OGe22AiTt5etVPXMdtrCe4AD59rzeeuBlPvmhs&amp;s
tub,缸、盆、浴缸,4,a3pmku9er67,2019-12-13T11:40:29.193Z,1.584618110547e+12,2020-03-19T11:41:50.656Z,http://t0.gstatic.com/images?q=tbn:ANd9GcSHvefU3mQmbX-CQKxuAat97TDlLyoGpJm_NNyVnSKvDmpXAWw_6sIVRHVb&amp;s
sink,水槽,4,5w4iiwqeqb5,2019-12-13T11:40:29.193Z,1.584618112159e+12,2020-03-19T11:41:52.293Z,https://www.ikea.com/PIAimages/0431192_PE585233_S5.JPG
pan,平底锅,4,zigjg0783t,2019-12-13T11:40:29.193Z,1.584618113847e+12,2020-03-19T11:41:53.946Z,https://www.pamperedchef.com/iceberg/com/product/2734-2-lg.jpg
material,材料、原料,4,8hsdwa59xlc,2019-12-13T11:40:29.193Z,1.584618122927e+12,2020-03-19T11:42:03.106Z,http://t0.gstatic.com/images?q=tbn:ANd9GcRvl9uuq4oTygdyGHUtg5TCHBWDMKiCRu2snzxlBSLnliuyZJxMwxUKTUyK&amp;s
cloth,布、布料,4,ubkdja7y9w,2019-12-13T11:40:29.193Z,1.584618184941e+12,2020-03-19T11:43:05.070Z,https://images-na.ssl-images-amazon.com/images/I/71IHkxQHy9L._SX425_.jpg
paint,油漆、涂料,9,7jwx5xk6tyb,2019-12-13T11:40:29.194Z,1.584161249935e+12,2020-03-14T04:47:30.690Z,https://upload.wikimedia.org/wikipedia/commons/e/e0/Multicolored_tempera_paints.jpg
chemical,化学制品,9,s4xxbwlwwej,2019-12-13T11:40:29.194Z,1.584161251774e+12,2020-03-14T04:47:32.519Z,https://www.thoughtco.com/thmb/07W0mpQ_K2BG2GNdi1AiFFlUDeI=/768x0/filters:no_upscale():max_bytes(150000):strip_icc()/chemistry-glassware-56a12a083df78cf772680235.jpg
chain,链条,14,phklev9xzhg,2019-12-13T11:40:29.194Z,1.583664618755e+12,2020-03-08T10:50:19.321Z,https://images-na.ssl-images-amazon.com/images/I/8106lT3157L._UL1500_.jpg
cartoon,卡通、草稿,14,11obn0n9sn3e,2019-12-13T11:40:29.194Z,1.583664621526e+12,2020-03-08T10:50:22.113Z,http://t0.gstatic.com/images?q=tbn:ANd9GcQDA8o5dhjOlEeJr4UYZD9JN_RFnMrn-9-TX7_qagAYAs8qgjS9aRAg4NpJ&amp;s
